kew_id|family|genus|species|infraspecies|taxon_name|authors|rank|taxonomic_status|accepted_kew_id|accepted_name|accepted_authors|parent_kew_id|parent_name|parent_authors|reviewed|publication|original_name_id
338-1|Acanthaceae|Acanthodium|||Acanthodium|Delile|GENUS|Synonym|427-1|Blepharis|Juss.||||In review|Descr. Egypte, Hist. Nat.: 241 (1813)|
44787-1|Acanthaceae|Acanthodium|angustum||Acanthodium angustum|Nees|SPECIES|Homotypic_Synonym|46469-1|Blepharis angusta|(Nees) T.Anderson||||In review|A.P.de Candolle, Prodr. 11: 273 (1847)|
44788-1|Acanthaceae|Acanthodium|capense||Acanthodium capense|(L.f.) Nees|SPECIES|Homotypic_Synonym|46487-1|Blepharis capensis|(L.f.) Pers.||||In review|Linnaea 15: 361 (1841)|
44789-1|Acanthaceae|Acanthodium|carduifolium||Acanthodium carduifolium|(L.f.) Nees|SPECIES|Homotypic_Synonym|44830-1|Acanthopsis carduifolia|(L.f.) Schinz||||In review|A.P.de Candolle, Prodr. 11: 278 (1847)|44848-1
44790-1|Acanthaceae|Acanthodium|delilii||Acanthodium delilii|H.Buek|SPECIES|Synonym|46503-1|Blepharis edulis|(Forssk.) Pers.||||In review|Gen. Sp. Candoll. 3: 1 (1858)|
44792-1|Acanthaceae|Acanthodium|diversispinum||Acanthodium diversispinum|Nees|SPECIES|Homotypic_Synonym|46501-1|Blepharis diversispina|(Nees) C.B.Clarke||||In review|A.P.de Candolle, Prodr. 11: 275 (1847)|
44793-1|Acanthaceae|Acanthodium|furcatum||Acanthodium furcatum|(L.f.) Nees|SPECIES|Homotypic_Synonym|46514-1|Blepharis furcata|(L.f.) Pers.||||In review|A.P.de Candolle, Prodr. 11: 276 (1847)|44862-1
44794-1|Acanthaceae|Acanthodium|glabrum||Acanthodium glabrum|Nees|SPECIES|Homotypic_Synonym|77177568-1|Acanthopsis glabra|(Nees) H.M.Steyn||||In review|A.P.de Candolle, Prodr. 11: 278 (1847)|
44795-1|Acanthaceae|Acanthodium|glaucum||Acanthodium glaucum|Nees|SPECIES|Homotypic_Synonym|44832-1|Acanthopsis glauca|(Nees) Schinz||||In review|A.P.de Candolle, Prodr. 11: 277 (1847)|
44797-1|Acanthaceae|Acanthodium|grossum||Acanthodium grossum|Nees|SPECIES|Homotypic_Synonym|46524-1|Blepharis grossa|(Nees) T.Anderson||||In review|A.P.de Candolle, Prodr. 11: 274 (1847)|
44796-1|Acanthaceae|Acanthodium|grossum||Acanthodium grossum|Wight|SPECIES|Synonym|46587-1|Blepharis scindica|Stocks ex T.Anderson||||In review|Icon. Pl. Ind. Orient. 4: t. 1535 (1850)|
44799-1|Acanthaceae|Acanthodium|hirtinervium||Acanthodium hirtinervium|Nees|SPECIES|Homotypic_Synonym|46530-1|Blepharis hirtinervia|(Nees) T.Anderson||||In review|A.P.de Candolle, Prodr. 11: 277 (1847)|
44800-1|Acanthaceae|Acanthodium|hirtum||Acanthodium hirtum|Hochst. ex Nees|SPECIES|Synonym|46547-1|Blepharis linariifolia|Pers.||||In review|A.P.de Candolle, Prodr. 11: 274 (1847)|
44802-1|Acanthaceae|Acanthodium|hoffmannseggianum||Acanthodium hoffmannseggianum|Nees|SPECIES|Homotypic_Synonym|44833-1|Acanthopsis hoffmannseggiana|(Nees) C.B.Clarke||||In review|A.P.de Candolle, Prodr. 11: 277 (1847)|
